longitude,latitude,aver_price,latlon
113.972565416,22.5403906266,111.1,"113.972565416,22.5403906266"
113.983945638,22.5532445864,166.1,"113.983945638,22.5532445864"
113.975133,22.58297,97.3,"113.975133,22.58297"
113.906502,22.488927,84.5,"113.906502,22.488927"
113.908692,22.725392,20.6,"113.908692,22.725392"
113.991743,22.593965,114.1,"113.991743,22.593965"
114.034306,22.655875,87.4,"114.034306,22.655875"
113.983945638,22.5532445864,114.3,"113.983945638,22.5532445864"
114.087504,22.657009,74.4,"114.087504,22.657009"
113.971732475,22.5330485224,146.4,"113.971732475,22.5330485224"
113.844313,22.733567,37.5,"113.844313,22.733567"
113.808115,22.68409,62.3,"113.808115,22.68409"
113.891326,22.497142,83.3,"113.891326,22.497142"
114.388905,22.75336,20.6,"114.388905,22.75336"
113.975165,22.58299,103.7,"113.975165,22.58299"
114.136644956,22.5493115524,66.3,"114.136644956,22.5493115524"
114.033270015,22.6568484942,47.2,"114.033270015,22.6568484942"
114.026227,22.645981,55.0,"114.026227,22.645981"
113.909205,22.586241,72.2,"113.909205,22.586241"
114.212824,22.655393,66.1,"114.212824,22.655393"
114.048434,22.615211,74.1,"114.048434,22.615211"
114.075296,22.649497,55.6,"114.075296,22.649497"
113.936296,22.523262,185.7,"113.936296,22.523262"
113.911482094,22.5798716222,101.5,"113.911482094,22.5798716222"
114.037308,22.532427,78.2,"114.037308,22.532427"
113.912285,22.575441,105.7,"113.912285,22.575441"
113.908471488,22.5561930618,65.4,"113.908471488,22.5561930618"
113.826001,22.745366,52.7,"113.826001,22.745366"
114.063969301,22.5282664053,141.8,"114.063969301,22.5282664053"
113.933226455,22.5331659337,98.7,"113.933226455,22.5331659337"
114.013394,22.655697,94.8,"114.013394,22.655697"
113.907471,22.561461,100.0,"113.907471,22.561461"
113.902668,22.483411,160.0,"113.902668,22.483411"
114.083041,22.625808,70.3,"114.083041,22.625808"
113.972004221,22.528065995,213.7,"113.972004221,22.528065995"
113.979887,22.557031,153.3,"113.979887,22.557031"
114.028367229,22.6537484227,58.1,"114.028367229,22.6537484227"
114.260671701,22.7299587732,55.6,"114.260671701,22.7299587732"
113.869206,22.583862,130.0,"113.869206,22.583862"
113.808995,22.681418,33.7,"113.808995,22.681418"
114.034306,22.655875,93.6,"114.034306,22.655875"
114.038848,22.656019,60.0,"114.038848,22.656019"
114.228306,22.640351,39.5,"114.228306,22.640351"
114.042821,22.628935,100.0,"114.042821,22.628935"
113.902003983,22.5885153737,66.7,"113.902003983,22.5885153737"
114.055497,22.695923,60.8,"114.055497,22.695923"
114.249488,22.745333,40.0,"114.249488,22.745333"
114.043332,22.667554,129.2,"114.043332,22.667554"
114.163786,22.614385,62.4,"114.163786,22.614385"
114.09025,22.536091,114.3,"114.09025,22.536091"
114.038406474,22.6694347456,70.0,"114.038406474,22.6694347456"
113.893786,22.587838,82.8,"113.893786,22.587838"
113.937389,22.586106,89.1,"113.937389,22.586106"
114.117220527,22.5965936639,118.6,"114.117220527,22.5965936639"
114.031970617,22.5397236833,44.8,"114.031970617,22.5397236833"
113.895391488,22.5541358005,202.4,"113.895391488,22.5541358005"
113.814819,22.712139,45.0,"113.814819,22.712139"
114.107671,22.570935,100.0,"114.107671,22.570935"
113.904056,22.574463,120.0,"113.904056,22.574463"
113.9611,22.553981,206.9,"113.9611,22.553981"
114.04238,22.64989,104.0,"114.04238,22.64989"
113.89247,22.500598,93.0,"113.89247,22.500598"
113.941723,22.49776,124.0,"113.941723,22.49776"
114.28084,22.730784,41.6,"114.28084,22.730784"
113.906624,22.580754,80.1,"113.906624,22.580754"
113.957672,22.547709,126.0,"113.957672,22.547709"
114.053863292,22.5301041711,200.0,"114.053863292,22.5301041711"
114.060013,22.606099,51.0,"114.060013,22.606099"
114.082994,22.533052,117.8,"114.082994,22.533052"
114.127137,22.539506,140.9,"114.127137,22.539506"
114.063071,22.63595,99.4,"114.063071,22.63595"
114.001347,22.698309,35.0,"114.001347,22.698309"
113.9611,22.5562,86.1,"113.9611,22.5562"
114.076846,22.541985,165.3,"114.076846,22.541985"
114.049714,22.527604,119.0,"114.049714,22.527604"
114.040931,22.652682,73.3,"114.040931,22.652682"
113.963237,22.575966,92.3,"113.963237,22.575966"
114.120984,22.54819,154.5,"114.120984,22.54819"
114.22597,22.73853,48.3,"114.22597,22.73853"
113.946959,22.498091,220.2,"113.946959,22.498091"
114.040931,22.652682,78.2,"114.040931,22.652682"
113.906502,22.488927,81.1,"113.906502,22.488927"
114.031970617,22.5397236833,129.0,"114.031970617,22.5397236833"
113.975165,22.58299,115.4,"113.975165,22.58299"
114.076737,22.542308,152.5,"114.076737,22.542308"
114.242911,22.721905,35.1,"114.242911,22.721905"
114.034306,22.655875,94.7,"114.034306,22.655875"
114.052,22.602907,71.4,"114.052,22.602907"
113.935806,22.517818,164.3,"113.935806,22.517818"
113.836528,22.725121,39.3,"113.836528,22.725121"
114.039009,22.654116,119.0,"114.039009,22.654116"
113.84002,22.639223,80.5,"113.84002,22.639223"
113.936734,22.51694,146.7,"113.936734,22.51694"
113.967499,22.585749,196.2,"113.967499,22.585749"
113.868387,22.747352,42.0,"113.868387,22.747352"
114.077847,22.650988,71.1,"114.077847,22.650988"
114.147476515,22.6051792604,60.9,"114.147476515,22.6051792604"
114.026974,22.657858,86.7,"114.026974,22.657858"
114.037684,22.637256,59.6,"114.037684,22.637256"
113.94862,22.508966,135.1,"113.94862,22.508966"
114.058929356,22.5373132959,183.1,"114.058929356,22.5373132959"
113.946218,22.497863,142.3,"113.946218,22.497863"
114.142381,22.580195,100.0,"114.142381,22.580195"
114.089654,22.638192,60.0,"114.089654,22.638192"
114.034306,22.655875,72.3,"114.034306,22.655875"
114.127137,22.539506,136.4,"114.127137,22.539506"
113.971145,22.569968,109.4,"113.971145,22.569968"
114.215913,22.716854,38.1,"114.215913,22.716854"
114.155119,22.609543,69.2,"114.155119,22.609543"
114.037133,22.660742,71.4,"114.037133,22.660742"
113.893807,22.587928,104.2,"113.893807,22.587928"
114.07425379,22.5294359773,108.7,"114.07425379,22.5294359773"
113.866606,22.592109,92.2,"113.866606,22.592109"
113.975133,22.582949,119.5,"113.975133,22.582949"
114.066605196,22.5810333403,222.7,"114.066605196,22.5810333403"
114.06705,22.626878,146.7,"114.06705,22.626878"
114.143513,22.619713,63.4,"114.143513,22.619713"
113.810939,22.675064,45.0,"113.810939,22.675064"
113.898801,22.590399,82.6,"113.898801,22.590399"
114.07111,22.622521,103.3,"114.07111,22.622521"
114.052664,22.561407,205.6,"114.052664,22.561407"
114.063711977,22.5299493409,108.0,"114.063711977,22.5299493409"
114.062132116,22.5323862043,130.3,"114.062132116,22.5323862043"
113.818536,22.745806,44.5,"113.818536,22.745806"
113.866606,22.592109,92.2,"113.866606,22.592109"
114.229357,22.693462,51.7,"114.229357,22.693462"
114.146726769,22.5743071825,112.7,"114.146726769,22.5743071825"
114.215427,22.65573,77.3,"114.215427,22.65573"
114.217556,22.64777,76.4,"114.217556,22.64777"
113.972004221,22.528065995,142.9,"113.972004221,22.528065995"
114.149327,22.675949,42.9,"114.149327,22.675949"
113.834167,22.758345,93.3,"113.834167,22.758345"
114.178250744,22.5679896923,92.1,"114.178250744,22.5679896923"
113.913938,22.51396,82.1,"113.913938,22.51396"
113.991743,22.593965,118.0,"113.991743,22.593965"
113.981885,22.62492,61.8,"113.981885,22.62492"
113.926799398,22.5260126358,183.8,"113.926799398,22.5260126358"
114.126227,22.59889,65.3,"114.126227,22.59889"
114.116346284,22.6370048983,54.5,"114.116346284,22.6370048983"
113.925946,22.487159,215.9,"113.925946,22.487159"
113.865681,22.594158,103.1,"113.865681,22.594158"
114.240139,22.704719,82.6,"114.240139,22.704719"
113.855578,22.600387,68.9,"113.855578,22.600387"
114.028792251,22.5333359608,107.1,"114.028792251,22.5333359608"
113.814104,22.712216,30.0,"113.814104,22.712216"
113.933537298,22.5163389505,210.0,"113.933537298,22.5163389505"
114.056288,22.527451,128.6,"114.056288,22.527451"
114.053863292,22.5301041711,226.3,"114.053863292,22.5301041711"
114.045728,22.556647,76.4,"114.045728,22.556647"
113.945634,22.502893,213.5,"113.945634,22.502893"
113.817253,22.681063,79.5,"113.817253,22.681063"
113.822707,22.70709,41.1,"113.822707,22.70709"
114.154967,22.625446,119.0,"114.154967,22.625446"
114.12485,22.542978,120.0,"114.12485,22.542978"
113.862823452,22.6154836815,86.5,"113.862823452,22.6154836815"
113.935806,22.517818,87.7,"113.935806,22.517818"
114.0573,22.64431,79.4,"114.0573,22.64431"
113.924871,22.558119,103.4,"113.924871,22.558119"
114.03686306,22.6454484563,56.1,"114.03686306,22.6454484563"
114.240139,22.704719,60.5,"114.240139,22.704719"
114.236719574,22.7068046414,55.6,"114.236719574,22.7068046414"
113.966370326,22.5726403828,30.5,"113.966370326,22.5726403828"
114.040931,22.652682,85.5,"114.040931,22.652682"
114.253391523,22.742361945,36.6,"114.253391523,22.742361945"
114.066264,22.638654,128.9,"114.066264,22.638654"
114.047403,22.522971,148.5,"114.047403,22.522971"
114.076927412,22.5558028263,88.7,"114.076927412,22.5558028263"
113.856751,22.575561,102.3,"113.856751,22.575561"
114.315386,22.604955,53.6,"114.315386,22.604955"
114.072103,22.651831,64.3,"114.072103,22.651831"
114.316842,22.710588,43.3,"114.316842,22.710588"
114.142782476,22.58743531,72.6,"114.142782476,22.58743531"
114.052791803,22.5360669995,185.7,"114.052791803,22.5360669995"
114.226911119,22.7074759392,43.3,"114.226911119,22.7074759392"
114.219505,22.679528,35.6,"114.219505,22.679528"
113.913618765,22.5679057005,108.9,"113.913618765,22.5679057005"
113.81334,22.670543,71.1,"113.81334,22.670543"
113.863654,22.573075,100.0,"113.863654,22.573075"
114.07151,22.615748,75.0,"114.07151,22.615748"
114.124954148,22.551003546,92.3,"114.124954148,22.551003546"
114.271529,22.752033,41.1,"114.271529,22.752033"
113.958439,22.589722,112.5,"113.958439,22.589722"
114.125223,22.550102,109.5,"114.125223,22.550102"
113.872584,22.624522,69.4,"113.872584,22.624522"
114.141072881,22.5769784984,108.1,"114.141072881,22.5769784984"
113.848518,22.604252,67.3,"113.848518,22.604252"
114.057654,22.608155,52.7,"114.057654,22.608155"
114.144564,22.630126,65.2,"114.144564,22.630126"
113.816163,22.712199,48.0,"113.816163,22.712199"
114.088342,22.534198,157.2,"114.088342,22.534198"
114.034365688,22.6295346929,105.6,"114.034365688,22.6295346929"
114.142803,22.604529,56.8,"114.142803,22.604529"
113.84432,22.596337,76.6,"113.84432,22.596337"
114.227253247,22.7026852121,93.4,"114.227253247,22.7026852121"
113.89792,22.503947,231.2,"113.89792,22.503947"
114.145963151,22.5512674155,112.5,"114.145963151,22.5512674155"
114.062132116,22.5323862043,127.5,"114.062132116,22.5323862043"
114.219222,22.65636,70.0,"114.219222,22.65636"
114.03281206,22.5399829982,125.0,"114.03281206,22.5399829982"
113.971979048,22.5389227788,102.6,"113.971979048,22.5389227788"
113.991743,22.593965,113.3,"113.991743,22.593965"
113.86741,22.572761,84.0,"113.86741,22.572761"
114.072103,22.651831,64.3,"114.072103,22.651831"
114.02634,22.636013,92.5,"114.02634,22.636013"
114.075605856,22.5500015525,110.0,"114.075605856,22.5500015525"
114.026625,22.638846,86.7,"114.026625,22.638846"
114.277882,22.722458,39.5,"114.277882,22.722458"
114.024506,22.63939,104.4,"114.024506,22.63939"
114.076148795,22.5375618471,184.6,"114.076148795,22.5375618471"
114.041055768,22.6336944611,66.7,"114.041055768,22.6336944611"
114.13095,22.557762,130.8,"114.13095,22.557762"
113.914675,22.57925,69.6,"113.914675,22.57925"
113.921461,22.57886,112.6,"113.921461,22.57886"
113.93160387,22.5121223744,118.1,"113.93160387,22.5121223744"
113.954154,22.566695,93.3,"113.954154,22.566695"
113.930584,22.53418,130.0,"113.930584,22.53418"
113.939589403,22.5181129337,131.6,"113.939589403,22.5181129337"
114.058049084,22.6275967919,14.6,"114.058049084,22.6275967919"
114.052827,22.536042,202.4,"114.052827,22.536042"
113.907637,22.587732,60.3,"113.907637,22.587732"
113.909903,22.586623,82.2,"113.909903,22.586623"
114.054442,22.606593,205.9,"114.054442,22.606593"
113.9611,22.553981,155.1,"113.9611,22.553981"
113.919650367,22.5316352199,100.0,"113.919650367,22.5316352199"
114.073564,22.623994,58.3,"114.073564,22.623994"
114.018657,22.740552,34.6,"114.018657,22.740552"
114.172,22.616331,48.8,"114.172,22.616331"
114.058592,22.525574,156.8,"114.058592,22.525574"
113.957672,22.547709,125.0,"113.957672,22.547709"
